BBoW----alpha:0.0001,  F1_train: 0.8728375442036234,  F1_valid: 0.8426777215921546 
BBoW----alpha:0.001,  F1_train: 0.8727711184784329,  F1_valid: 0.8430770249072167 
BBoW----alpha:0.002,  F1_train: 0.8727711184784329,  F1_valid: 0.8430770249072167 
BBoW----alpha:0.003,  F1_train: 0.8727711184784329,  F1_valid: 0.8431758867243427 
BBoW----alpha:0.004,  F1_train: 0.8727711184784329,  F1_valid: 0.843075480543835 
BBoW----alpha:0.005,  F1_train: 0.8727711184784329,  F1_valid: 0.843075480543835 
BBoW----alpha:0.006,  F1_train: 0.8727711184784329,  F1_valid: 0.8431758867243427 
BBoW----alpha:0.007,  F1_train: 0.8727711184784329,  F1_valid: 0.8431751024792695 
BBoW----alpha:0.008,  F1_train: 0.8727711184784329,  F1_valid: 0.843075480543835 
BBoW----alpha:0.009,  F1_train: 0.8727041803275917,  F1_valid: 0.843075480543835 
BBoW----alpha:0.01,  F1_train: 0.8727041803275917,  F1_valid: 0.843075480543835 
BBoW----alpha:0.02,  F1_train: 0.8725038766289896,  F1_valid: 0.8433751342363114 
BBoW----alpha:0.05,  F1_train: 0.8722376640485732,  F1_valid: 0.843274721779876 
BBoW----alpha:0.1,  F1_train: 0.8719704200458473,  F1_valid: 0.8429750707222279 
