Depth C = 0.0625, F1_train = 0.9738664989476644,  F1_valid = 0.8687994751979007 
Depth C = 0.125, F1_train = 0.9868666652074072,  F1_valid = 0.8607999498879819 
Depth C = 0.25, F1_train = 0.9953999994888888,  F1_valid = 0.8567999942719997 
Depth C = 0.5, F1_train = 0.9991333332986667,  F1_valid = 0.8463996067829933 
Depth C = 1, F1_train = 0.9998666666642964,  F1_valid = 0.8442990268689179 
Depth C = 1.5, F1_train = 1.0,  F1_valid = 0.8422991657625869 
Depth C = 2, F1_train = 1.0,  F1_valid = 0.8410999221389619 
Depth C = 4, F1_train = 1.0,  F1_valid = 0.8407998407998408 
Depth C = 10.0, F1_train = 1.0,  F1_valid = 0.8407998407998408 
Depth C = 16, F1_train = 1.0,  F1_valid = 0.8407998407998408 
Depth C = 32, F1_train = 1.0,  F1_valid = 0.8407998407998408 
